Filename,Original Contigs,After Filtering,After CD-HIT,GC %,Avg Length,Status
GCA_011774525.1_ASM1177452v1_genomic.fna,1140,635,635,62.93,2766.7,KEPT
GCA_011773905.1_ASM1177390v1_genomic.fna,120,79,79,46.59,12580.1,KEPT
GCA_011774665.1_ASM1177466v1_genomic.fna,240,181,181,48.87,4501.5,KEPT
GCA_011774145.1_ASM1177414v1_genomic.fna,1331,703,703,62.90,3101.9,KEPT
GCA_011774125.1_ASM1177412v1_genomic.fna,809,335,335,36.09,5605.6,KEPT
GCA_011774745.1_ASM1177474v1_genomic.fna,383,333,333,45.69,5425.4,KEPT
GCA_011775105.1_ASM1177510v1_genomic.fna,1204,671,671,62.89,2720.2,KEPT
GCA_011774755.1_ASM1177475v1_genomic.fna,214,156,156,35.96,8871.7,KEPT
GCA_011775265.1_ASM1177526v1_genomic.fna,1129,622,622,62.98,2776.8,KEPT
GCA_011775545.1_ASM1177554v1_genomic.fna,1080,600,600,63.00,2780.8,KEPT
GCA_011775725.1_ASM1177572v1_genomic.fna,311,190,190,49.00,4375.9,KEPT
GCA_011775735.1_ASM1177573v1_genomic.fna,395,319,319,46.11,3324.1,KEPT
GCA_011776045.1_ASM1177604v1_genomic.fna,571,429,429,46.02,3233.7,KEPT
GCA_011776185.1_ASM1177618v1_genomic.fna,321,193,193,48.99,4251.7,KEPT
GCA_011774645.1_ASM1177464v1_genomic.fna,898,445,445,42.33,6346.7,KEPT
GCA_011776285.1_ASM1177628v1_genomic.fna,1107,602,602,62.99,2756.4,KEPT
GCA_011775845.1_ASM1177584v1_genomic.fna,793,343,343,35.83,5787.0,KEPT
GCA_011776245.1_ASM1177624v1_genomic.fna,577,237,237,36.03,6669.3,KEPT
GCA_011776625.1_ASM1177662v1_genomic.fna,214,154,154,48.95,4689.3,KEPT
GCA_011776665.1_ASM1177666v1_genomic.fna,1098,612,612,63.02,2777.6,KEPT
GCA_011776745.1_ASM1177674v1_genomic.fna,247,163,163,48.65,4368.4,KEPT
GCA_011776815.1_ASM1177681v1_genomic.fna,1139,625,625,62.96,2753.5,KEPT
GCA_011775775.1_ASM1177577v1_genomic.fna,846,427,427,42.13,6337.3,KEPT
GCA_011777365.1_ASM1177736v1_genomic.fna,1331,703,703,62.90,3101.9,KEPT
GCA_011777025.1_ASM1177702v1_genomic.fna,809,335,335,36.09,5605.6,KEPT
GCA_011776415.1_ASM1177641v1_genomic.fna,770,402,402,42.22,6459.4,KEPT
GCA_012222305.1_ASM1222230v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_011776705.1_ASM1177670v1_genomic.fna,587,345,345,42.09,7089.2,KEPT
GCA_012270265.1_ASM1227026v1_genomic.fna,291,291,291,49.27,5664.3,KEPT
GCA_012269645.1_ASM1226964v1_genomic.fna,183,183,183,56.01,10566.8,KEPT
GCA_012271085.1_ASM1227108v1_genomic.fna,456,441,441,44.01,3818.0,KEPT
GCA_012726095.1_ASM1272609v1_genomic.fna,3,3,0,0.00,0.0,FAILED (CD-HIT)
GCA_012726105.1_ASM1272610v1_genomic.fna,3,1,1,0.00,0.0,DELETED (too few contigs)
GCA_012271275.1_ASM1227127v1_genomic.fna,499,466,466,58.83,4221.0,KEPT
GCA_012726155.1_ASM1272615v1_genomic.fna,9,9,0,0.00,0.0,FAILED (CD-HIT)
GCA_012910725.1_ASM1291072v1_genomic.fna,114,112,112,41.35,10990.2,KEPT
GCA_012928585.1_ASM1292858v1_genomic.fna,376,376,376,34.91,4215.0,KEPT
GCA_012959225.1_ASM1295922v1_genomic.fna,295,277,277,35.03,3227.0,KEPT
GCA_012959275.1_ASM1295927v1_genomic.fna,68,67,67,44.63,28641.6,KEPT
GCA_012959385.1_ASM1295938v1_genomic.fna,330,321,321,58.93,5317.2,KEPT
GCA_012026795.1_ASM1202679v1_genomic.fna,68,67,67,40.57,53492.9,KEPT
GCA_012959435.1_ASM1295943v1_genomic.fna,203,184,184,44.08,11847.6,KEPT
GCA_012959635.1_ASM1295963v1_genomic.fna,74,68,68,36.85,13068.7,KEPT
GCA_012959485.1_ASM1295948v1_genomic.fna,68,66,66,45.08,29010.3,KEPT
GCA_012959845.1_ASM1295984v1_genomic.fna,269,260,260,41.69,7081.8,KEPT
GCA_012960605.1_ASM1296060v1_genomic.fna,37,36,36,30.16,14352.7,KEPT
GCA_012163165.1_ASM1216316v1_genomic.fna,120,108,108,65.49,37427.8,KEPT
GCA_012960615.1_ASM1296061v1_genomic.fna,34,34,34,63.74,34524.2,KEPT
GCA_012959925.1_ASM1295992v1_genomic.fna,48,47,47,43.22,37896.3,KEPT
GCA_012960685.1_ASM1296068v1_genomic.fna,43,43,43,55.52,32848.9,KEPT
GCA_012960735.1_ASM1296073v1_genomic.fna,41,39,39,50.82,38941.4,KEPT
GCA_012961065.1_ASM1296106v1_genomic.fna,235,215,215,31.22,3619.1,KEPT
GCA_012963685.1_ASM1296368v1_genomic.fna,639,636,636,44.70,2152.3,KEPT
GCA_012960825.1_ASM1296082v1_genomic.fna,122,115,115,56.07,14342.8,KEPT
GCA_012963855.1_ASM1296385v1_genomic.fna,158,158,157,34.87,4214.3,KEPT
GCA_012960975.1_ASM1296097v1_genomic.fna,59,49,49,43.96,32161.1,KEPT
GCA_012964315.1_ASM1296431v1_genomic.fna,153,153,153,52.30,9001.5,KEPT
GCA_012964945.1_ASM1296494v1_genomic.fna,257,256,256,43.42,2987.2,KEPT
GCA_012964965.1_ASM1296496v1_genomic.fna,165,165,165,34.80,4334.8,KEPT
GCA_012965105.1_ASM1296510v1_genomic.fna,79,79,79,52.70,19138.9,KEPT
GCA_012964335.1_ASM1296433v1_genomic.fna,54,54,54,44.52,36398.1,KEPT
GCA_012965845.1_ASM1296584v1_genomic.fna,160,160,160,35.26,3638.3,KEPT
GCA_012965865.1_ASM1296586v1_genomic.fna,233,229,229,34.25,3593.3,KEPT
GCA_012964795.1_ASM1296479v1_genomic.fna,73,73,73,44.50,27174.4,KEPT
GCA_012965585.1_ASM1296558v1_genomic.fna,332,332,332,52.92,4512.9,KEPT
GCA_012979255.1_ASM1297925v1_genomic.fna,177,176,161,44.10,8080.4,KEPT
GCA_013151125.1_ASM1315112v1_genomic.fna,163,163,163,54.74,8294.7,KEPT
GCA_012966225.1_ASM1296622v1_genomic.fna,209,209,209,44.46,9148.0,KEPT
GCA_013151465.1_ASM1315146v1_genomic.fna,94,94,94,42.41,9914.5,KEPT
GCA_012965915.1_ASM1296591v1_genomic.fna,192,192,192,44.53,10305.0,KEPT
GCA_013152575.1_ASM1315257v1_genomic.fna,127,127,127,49.80,7717.3,KEPT
GCA_013152845.1_ASM1315284v1_genomic.fna,177,177,177,59.73,6626.9,KEPT
GCA_013152905.1_ASM1315290v1_genomic.fna,49,49,49,45.77,11165.1,KEPT
GCA_013152995.1_ASM1315299v1_genomic.fna,143,143,143,58.65,5784.9,KEPT
GCA_013152815.1_ASM1315281v1_genomic.fna,76,76,76,53.32,19658.1,KEPT
GCA_013152685.1_ASM1315268v1_genomic.fna,130,130,130,59.93,13852.4,KEPT
GCA_013180585.1_ASM1318058v1_genomic.fna,251,245,245,42.62,8729.3,KEPT
GCA_013180565.1_ASM1318056v1_genomic.fna,426,420,418,41.93,6422.3,KEPT
GCA_013180605.1_ASM1318060v1_genomic.fna,189,189,187,42.63,12511.0,KEPT
GCA_013267195.1_ASM1326719v1_genomic.fna,3,3,0,0.00,0.0,FAILED (CD-HIT)
GCA_012726115.1_ASM1272611v1_genomic.fna,11,11,11,61.30,364842.5,KEPT
GCA_013215525.1_ASM1321552v1_genomic.fna,172,172,172,25.85,10152.0,KEPT
GCA_013287935.1_ASM1328793v1_genomic.fna,57,57,57,35.46,16781.3,KEPT
GCA_013288055.1_ASM1328805v1_genomic.fna,59,59,59,37.57,12740.7,KEPT
GCA_013215285.1_ASM1321528v1_genomic.fna,23,23,23,31.95,72388.0,KEPT
GCA_013287585.1_ASM1328758v1_genomic.fna,47,47,47,35.38,28820.2,KEPT
GCA_013289235.1_ASM1328923v1_genomic.fna,63,63,63,37.86,15936.5,KEPT
GCA_013288545.1_ASM1328854v1_genomic.fna,57,57,57,37.79,24310.1,KEPT
GCA_013306135.1_ASM1330613v1_genomic.fna,98,98,98,32.72,8286.3,KEPT
GCA_013288705.1_ASM1328870v1_genomic.fna,51,51,51,50.80,31942.6,KEPT
GCA_013328985.1_ASM1332898v1_genomic.fna,115,115,115,56.57,10719.3,KEPT
GCA_013329035.1_ASM1332903v1_genomic.fna,41,41,41,34.20,24395.1,KEPT
GCA_013328975.1_ASM1332897v1_genomic.fna,81,81,81,33.52,18825.7,KEPT
GCA_013329105.1_ASM1332910v1_genomic.fna,175,175,175,48.51,5603.0,KEPT
GCA_013329085.1_ASM1332908v1_genomic.fna,247,246,246,35.44,6353.1,KEPT
GCA_013329135.1_ASM1332913v1_genomic.fna,208,162,162,59.11,8490.0,KEPT
GCA_013288145.1_ASM1328814v1_genomic.fna,114,114,114,46.72,22515.4,KEPT
GCA_013329045.1_ASM1332904v1_genomic.fna,55,55,55,44.79,31647.4,KEPT
GCA_013329155.1_ASM1332915v1_genomic.fna,93,89,89,33.17,16734.7,KEPT
GCA_013329175.1_ASM1332917v1_genomic.fna,142,137,137,47.85,11272.4,KEPT
GCA_013329215.1_ASM1332921v1_genomic.fna,67,67,67,44.35,21131.1,KEPT
GCA_013329235.1_ASM1332923v1_genomic.fna,57,51,51,34.07,19524.9,KEPT
GCA_013329255.1_ASM1332925v1_genomic.fna,148,73,73,50.73,13996.5,KEPT
GCA_013329275.1_ASM1332927v1_genomic.fna,175,122,122,38.03,7900.1,KEPT
GCA_013329165.1_ASM1332916v1_genomic.fna,72,68,68,51.67,28104.7,KEPT
GCA_013329295.1_ASM1332929v1_genomic.fna,227,188,188,39.01,7368.0,KEPT
GCA_013329285.1_ASM1332928v1_genomic.fna,216,177,177,48.18,8275.6,KEPT
GCA_013329365.1_ASM1332936v1_genomic.fna,137,107,107,30.93,7340.2,KEPT
GCA_013329335.1_ASM1332933v1_genomic.fna,211,210,210,32.04,7196.8,KEPT
GCA_013329425.1_ASM1332942v1_genomic.fna,122,50,50,37.35,9678.4,KEPT
GCA_013329355.1_ASM1332935v1_genomic.fna,233,204,204,44.49,7139.2,KEPT
GCA_013329375.1_ASM1332937v1_genomic.fna,232,181,181,56.51,7680.2,KEPT
GCA_013329465.1_ASM1332946v1_genomic.fna,155,107,107,30.85,7997.8,KEPT
GCA_013329495.1_ASM1332949v1_genomic.fna,216,215,215,42.77,6912.3,KEPT
GCA_013329505.1_ASM1332950v1_genomic.fna,195,192,192,41.05,7326.3,KEPT
GCA_013329555.1_ASM1332955v1_genomic.fna,168,168,168,59.44,6018.2,KEPT
GCA_013329535.1_ASM1332953v1_genomic.fna,235,203,203,48.53,7343.7,KEPT
GCA_013329455.1_ASM1332945v1_genomic.fna,273,273,273,54.84,7954.2,KEPT
GCA_013329565.1_ASM1332956v1_genomic.fna,182,182,182,59.35,7800.3,KEPT
GCA_013329575.1_ASM1332957v1_genomic.fna,162,162,162,37.53,7673.5,KEPT
GCA_013329635.1_ASM1332963v1_genomic.fna,220,171,171,44.57,7922.9,KEPT
GCA_013329665.1_ASM1332966v1_genomic.fna,118,83,83,56.09,8679.3,KEPT
GCA_013329615.1_ASM1332961v1_genomic.fna,240,240,240,58.86,7575.1,KEPT
GCA_013329415.1_ASM1332941v1_genomic.fna,226,153,153,45.60,18133.3,KEPT
GCA_013329685.1_ASM1332968v1_genomic.fna,34,34,34,31.04,34423.7,KEPT
GCA_013329705.1_ASM1332970v1_genomic.fna,18,18,18,56.41,71446.3,KEPT
GCA_013329765.1_ASM1332976v1_genomic.fna,234,199,199,47.97,6994.2,KEPT
GCA_013329755.1_ASM1332975v1_genomic.fna,46,46,46,39.33,30046.0,KEPT
GCA_013329715.1_ASM1332971v1_genomic.fna,6,6,6,0.00,0.0,DELETED (too few contigs)
GCA_013329775.1_ASM1332977v1_genomic.fna,8,8,8,0.00,0.0,DELETED (too few contigs)
GCA_013329855.1_ASM1332985v1_genomic.fna,315,315,315,67.70,5426.9,KEPT
GCA_013329865.1_ASM1332986v1_genomic.fna,207,133,133,44.42,7691.1,KEPT
GCA_013329875.1_ASM1332987v1_genomic.fna,145,68,68,48.67,7190.8,KEPT
GCA_013329805.1_ASM1332980v1_genomic.fna,39,39,39,51.26,55211.1,KEPT
GCA_013329905.1_ASM1332990v1_genomic.fna,63,30,30,51.58,28062.0,KEPT
GCA_013329955.1_ASM1332995v1_genomic.fna,158,149,149,46.37,7674.4,KEPT
GCA_013329925.1_ASM1332992v1_genomic.fna,213,159,159,40.95,8719.3,KEPT
GCA_013329995.1_ASM1332999v1_genomic.fna,226,172,172,38.93,8135.0,KEPT
GCA_013330005.1_ASM1333000v1_genomic.fna,151,136,136,41.44,5092.6,KEPT
GCA_013329795.1_ASM1332979v1_genomic.fna,62,62,62,32.48,40474.9,KEPT
GCA_013330015.1_ASM1333001v1_genomic.fna,183,104,104,48.02,7063.8,KEPT
GCA_013330065.1_ASM1333006v1_genomic.fna,130,122,122,50.28,7894.9,KEPT
GCA_013329975.1_ASM1332997v1_genomic.fna,55,40,40,37.65,35522.9,KEPT
GCA_013330075.1_ASM1333007v1_genomic.fna,159,152,152,46.91,6486.0,KEPT
GCA_013330115.1_ASM1333011v1_genomic.fna,164,162,162,48.90,7434.5,KEPT
GCA_013330055.1_ASM1333005v1_genomic.fna,86,85,85,35.82,13882.0,KEPT
GCA_013330135.1_ASM1333013v1_genomic.fna,155,141,141,46.19,7750.5,KEPT
GCA_013330155.1_ASM1333015v1_genomic.fna,246,136,136,53.23,6486.2,KEPT
GCA_013330215.1_ASM1333021v1_genomic.fna,101,101,101,49.86,7448.6,KEPT
GCA_013330165.1_ASM1333016v1_genomic.fna,165,115,115,46.34,6844.6,KEPT
GCA_013330185.1_ASM1333018v1_genomic.fna,190,79,79,47.60,8575.1,KEPT
GCA_013330225.1_ASM1333022v1_genomic.fna,138,42,42,59.72,14520.1,KEPT
GCA_013330265.1_ASM1333026v1_genomic.fna,155,94,94,46.81,7248.3,KEPT
GCA_013330255.1_ASM1333025v1_genomic.fna,213,127,127,48.23,7968.3,KEPT
GCA_013330305.1_ASM1333030v1_genomic.fna,142,109,109,49.74,8108.3,KEPT
GCA_013330355.1_ASM1333035v1_genomic.fna,194,137,137,45.28,5998.9,KEPT
GCA_013330285.1_ASM1333028v1_genomic.fna,234,176,176,49.78,7084.2,KEPT
GCA_013329655.1_ASM1332965v1_genomic.fna,201,201,201,43.53,21180.9,KEPT
GCA_013330375.1_ASM1333037v1_genomic.fna,91,65,65,49.43,16259.2,KEPT
GCA_013330385.1_ASM1333038v1_genomic.fna,197,150,150,44.18,6515.7,KEPT
GCA_013330455.1_ASM1333045v1_genomic.fna,174,174,174,42.94,6392.3,KEPT
GCA_013330365.1_ASM1333036v1_genomic.fna,181,151,151,42.86,10894.0,KEPT
GCA_013330315.1_ASM1333031v1_genomic.fna,360,360,360,41.36,6500.1,KEPT
GCA_013330485.1_ASM1333048v1_genomic.fna,135,135,135,56.46,8508.1,KEPT
GCA_013330395.1_ASM1333039v1_genomic.fna,114,105,105,39.86,15682.8,KEPT
GCA_013330465.1_ASM1333046v1_genomic.fna,97,97,97,44.82,17941.5,KEPT
GCA_013330535.1_ASM1333053v1_genomic.fna,55,50,50,39.71,27487.6,KEPT
