Filename,Original Contigs,After Filtering,After CD-HIT,GC %,Avg Length,Status
GCA_023659955.1_ASM2365995v1_genomic.fna,90,90,90,31.37,6265.7,KEPT
GCA_023659905.1_ASM2365990v1_genomic.fna,54,54,54,32.56,11333.8,KEPT
GCA_023659935.1_ASM2365993v1_genomic.fna,63,63,63,31.62,11567.6,KEPT
GCA_023659895.1_ASM2365989v1_genomic.fna,56,56,56,32.56,13220.2,KEPT
GCA_023702125.1_ASM2370212v1_genomic.fna,2,2,0,0.00,0.0,FAILED (CD-HIT)
GCA_023703775.1_ASM2370377v1_genomic.fna,4,4,0,0.00,0.0,FAILED (CD-HIT)
GCA_023703795.1_ASM2370379v1_genomic.fna,3,3,0,0.00,0.0,FAILED (CD-HIT)
GCA_023746595.1_ASM2374659v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_023898345.1_ASM2389834v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_023898365.1_ASM2389836v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_023913515.1_ASM2391351v1_genomic.fna,3,3,0,0.00,0.0,FAILED (CD-HIT)
GCA_023973145.1_ASM2397314v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_024022995.1_ASM2402299v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_024138125.1_ASM2413812v1_genomic.fna,4,4,0,0.00,0.0,FAILED (CD-HIT)
GCA_024138145.1_ASM2413814v1_genomic.fna,3,3,0,0.00,0.0,FAILED (CD-HIT)
GCA_024138165.1_ASM2413816v1_genomic.fna,5,5,0,0.00,0.0,FAILED (CD-HIT)
GCA_024167805.1_ASM2416780v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_024204665.1_ASM2420466v1_genomic.fna,4,4,0,0.00,0.0,FAILED (CD-HIT)
GCA_024218775.1_ASM2421877v1_genomic.fna,3,3,0,0.00,0.0,FAILED (CD-HIT)
GCA_024218795.1_ASM2421879v1_genomic.fna,4,4,0,0.00,0.0,FAILED (CD-HIT)
GCA_024218815.1_ASM2421881v1_genomic.fna,4,4,0,0.00,0.0,FAILED (CD-HIT)
GCA_024227435.1_ASM2422743v1_genomic.fna,3,3,0,0.00,0.0,FAILED (CD-HIT)
GCA_024227715.1_ASM2422771v1_genomic.fna,6,6,0,0.00,0.0,FAILED (CD-HIT)
GCA_024227995.1_ASM2422799v1_genomic.fna,4,4,0,0.00,0.0,FAILED (CD-HIT)
GCA_024228315.1_ASM2422831v1_genomic.fna,7,7,0,0.00,0.0,FAILED (CD-HIT)
GCA_024228675.1_ASM2422867v1_genomic.fna,4,4,0,0.00,0.0,FAILED (CD-HIT)
GCA_023659975.1_ASM2365997v1_genomic.fna,103,103,103,31.38,7564.6,KEPT
GCA_024266705.1_ASM2426670v1_genomic.fna,3,3,0,0.00,0.0,FAILED (CD-HIT)
GCA_023684405.1_ASM2368440v1_genomic.fna,158,147,147,41.74,19025.1,KEPT
GCA_024239095.1_ASM2423909v1_genomic.fna,14,13,13,46.05,162600.2,KEPT
GCA_024296665.1_ASM2429666v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_024296685.1_ASM2429668v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_024298825.1_ASM2429882v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_024298845.1_ASM2429884v1_genomic.fna,5,5,0,0.00,0.0,FAILED (CD-HIT)
GCA_024298865.1_ASM2429886v1_genomic.fna,5,5,0,0.00,0.0,FAILED (CD-HIT)
GCA_024298885.1_ASM2429888v1_genomic.fna,3,3,0,0.00,0.0,FAILED (CD-HIT)
GCA_024298905.1_ASM2429890v1_genomic.fna,2,2,0,0.00,0.0,FAILED (CD-HIT)
GCA_024300625.1_ASM2430062v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_024300825.1_ASM2430082v1_genomic.fna,2,2,0,0.00,0.0,FAILED (CD-HIT)
GCA_024362405.1_ASM2436240v1_genomic.fna,2,2,0,0.00,0.0,FAILED (CD-HIT)
GCA_024362485.1_ASM2436248v1_genomic.fna,2,2,0,0.00,0.0,FAILED (CD-HIT)
GCA_024362525.1_ASM2436252v1_genomic.fna,3,3,0,0.00,0.0,FAILED (CD-HIT)
