Filename,Original Contigs,After Filtering,After CD-HIT,GC %,Avg Length,Status
GCA_020724205.1_ASM2072420v1_genomic.fna,153,153,153,31.55,4735.9,KEPT
GCA_020724955.1_ASM2072495v1_genomic.fna,22,22,22,37.38,33412.3,KEPT
GCA_020724245.1_ASM2072424v1_genomic.fna,34,34,34,32.28,24764.4,KEPT
GCA_020724985.1_ASM2072498v1_genomic.fna,577,577,577,44.84,3391.2,KEPT
GCA_020725055.1_ASM2072505v1_genomic.fna,53,53,53,56.26,20633.0,KEPT
GCA_020725895.1_ASM2072589v1_genomic.fna,58,58,58,53.32,19364.6,KEPT
GCA_020725315.1_ASM2072531v1_genomic.fna,273,273,273,44.11,6874.9,KEPT
GCA_020726005.1_ASM2072600v1_genomic.fna,62,62,62,33.09,10573.3,KEPT
GCA_020736485.1_ASM2073648v1_genomic.fna,3,3,0,0.00,0.0,FAILED (CD-HIT)
GCA_020736935.1_ASM2073693v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_020725985.1_ASM2072598v1_genomic.fna,285,285,285,58.81,5315.5,KEPT
GCA_020725925.1_ASM2072592v1_genomic.fna,73,73,73,60.38,27971.9,KEPT
GCA_020793595.1_ASM2079359v1_genomic.fna,698,694,677,42.30,3733.6,KEPT
GCA_020793555.1_ASM2079355v1_genomic.fna,334,332,332,40.68,7657.7,KEPT
GCA_020844795.1_ASM2084479v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_020844815.1_ASM2084481v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_020885915.1_ASM2088591v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_020886315.1_ASM2088631v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_021129915.1_ASM2112991v1_genomic.fna,121,121,121,46.57,6037.2,KEPT
GCA_021129955.1_ASM2112995v1_genomic.fna,531,531,530,29.76,2605.6,KEPT
GCA_021184045.1_ASM2118404v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
