Filename,Original Contigs,After Filtering,After CD-HIT,GC %,Avg Length,Status
GCA_002503915.1_ASM250391v1_genomic.fna,37,37,37,34.36,21839.8,KEPT
GCA_002503995.1_ASM250399v1_genomic.fna,24,24,24,33.62,33407.2,KEPT
GCA_002504045.1_ASM250404v1_genomic.fna,88,70,70,44.46,11131.2,KEPT
GCA_002503925.1_ASM250392v1_genomic.fna,85,84,84,57.70,19164.2,KEPT
GCA_002504005.1_ASM250400v1_genomic.fna,77,77,77,37.22,20248.1,KEPT
GCA_002503965.1_ASM250396v1_genomic.fna,87,87,87,42.56,20881.8,KEPT
GCA_002504415.1_ASM250441v1_genomic.fna,23,22,22,40.17,63080.1,KEPT
GCA_002504405.1_ASM250440v1_genomic.fna,14,14,14,59.37,115617.8,KEPT
GCA_002504435.1_ASM250443v1_genomic.fna,55,49,49,51.53,25209.1,KEPT
GCA_002504495.1_ASM250449v1_genomic.fna,150,149,149,58.68,10787.8,KEPT
GCA_002504425.1_ASM250442v1_genomic.fna,282,246,246,37.90,11218.0,KEPT
GCA_002504565.1_ASM250456v1_genomic.fna,85,67,67,44.90,18040.9,KEPT
GCA_002504485.1_ASM250448v1_genomic.fna,17,17,17,37.98,126047.9,KEPT
GCA_002504525.1_ASM250452v1_genomic.fna,35,32,32,60.02,65369.5,KEPT
GCA_002504595.1_ASM250459v1_genomic.fna,195,151,151,39.39,9160.3,KEPT
GCA_002504645.1_ASM250464v1_genomic.fna,59,59,59,55.23,18158.6,KEPT
GCA_002504585.1_ASM250458v1_genomic.fna,23,22,22,37.37,83617.4,KEPT
GCA_002504505.1_ASM250450v1_genomic.fna,7,7,7,0.00,0.0,DELETED (too few contigs)
GCA_002504675.1_ASM250467v1_genomic.fna,184,161,161,48.65,9013.5,KEPT
GCA_002504665.1_ASM250466v1_genomic.fna,78,77,77,42.44,22949.4,KEPT
GCA_002504695.1_ASM250469v1_genomic.fna,117,102,102,34.14,15457.7,KEPT
GCA_002504745.1_ASM250474v1_genomic.fna,87,85,85,37.36,19255.6,KEPT
GCA_002504755.1_ASM250475v1_genomic.fna,20,15,15,61.07,79860.1,KEPT
GCA_002504805.1_ASM250480v1_genomic.fna,173,106,106,42.74,11262.2,KEPT
GCA_002504825.1_ASM250482v1_genomic.fna,64,60,60,46.79,19092.8,KEPT
GCA_002504725.1_ASM250472v1_genomic.fna,12,12,12,36.93,167310.8,KEPT
GCA_002504835.1_ASM250483v1_genomic.fna,85,59,59,51.17,15041.1,KEPT
GCA_002504885.1_ASM250488v1_genomic.fna,121,64,64,47.61,9887.6,KEPT
GCA_002504845.1_ASM250484v1_genomic.fna,93,77,77,49.00,14645.7,KEPT
GCA_002504605.1_ASM250460v1_genomic.fna,38,37,37,39.84,78912.8,KEPT
GCA_002504925.1_ASM250492v1_genomic.fna,30,28,28,47.05,36770.7,KEPT
GCA_002504935.1_ASM250493v1_genomic.fna,178,109,109,54.09,10850.4,KEPT
GCA_002504905.1_ASM250490v1_genomic.fna,35,30,30,37.24,46681.2,KEPT
