Filename,Original Contigs,After Filtering,GC Content (%),Avg Length,Status
NZ_CP129006.1.fna,1,1,32.16,609501.0,KEPT
NZ_JAPHLB020000022.1.fna,1,1,37.73,3779.0,KEPT
NZ_MAOO01000071.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_RRNE01000154.1.fna,1,1,60.09,2591.0,KEPT
NZ_JACKZO010000428.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_CP032225.1.fna,1,1,49.31,108879.0,KEPT
NZ_CP169547.1.fna,1,1,47.72,92653.0,KEPT
NZ_VUJM01000043.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_ON953152.1.fna,1,1,30.42,5079.0,KEPT
NZ_JPGS01000087.1.fna,1,1,50.40,3746.0,KEPT
NZ_RRMW01000077.1.fna,1,1,46.81,6648.0,KEPT
NZ_JAAKGF010000002.1.fna,1,1,52.34,106637.0,KEPT
NZ_CP011251.1.fna,1,1,60.01,33022.0,KEPT
NC_012033.1.fna,1,1,34.79,6206.0,KEPT
NZ_JBDYIY010000024.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_CP086822.1.fna,1,1,63.12,108624.0,KEPT
NZ_CP076584.1.fna,1,1,45.05,3028.0,KEPT
NZ_CP043379.1.fna,1,1,49.29,37493.0,KEPT
NZ_PHKZ01000010.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_RRHQ01000186.1.fna,1,1,47.18,3033.0,KEPT
NZ_CP028153.1.fna,1,1,42.21,60294.0,KEPT
NZ_POWG01000068.1.fna,1,1,69.10,21965.0,KEPT
NZ_CP075633.1.fna,1,1,48.82,120601.0,KEPT
NZ_CP070187.1.fna,1,1,53.40,12439.0,KEPT
NG_050243.1.fna,1,1,45.15,1061.0,KEPT
NZ_CP072617.1.fna,1,1,57.59,72015.0,KEPT
NZ_CP101054.1.fna,1,1,54.33,100734.0,KEPT
NZ_CP041197.1.fna,1,1,65.11,74326.0,KEPT
NZ_CP077979.1.fna,1,1,59.64,49798.0,KEPT
NZ_CP169248.1.fna,1,1,30.91,15690.0,KEPT
NZ_CP063859.1.fna,1,1,51.84,262519.0,KEPT
NZ_LT592162.1.fna,1,1,51.48,4153.0,KEPT
NZ_QOZV01000263.1.fna,1,1,31.65,3223.0,KEPT
NZ_CP086487.1.fna,1,1,48.58,6647.0,KEPT
NZ_LKZN01000051.1.fna,1,1,46.82,7307.0,KEPT
NZ_CP176376.1.fna,1,1,35.41,197154.0,KEPT
NZ_CP183243.1.fna,1,1,50.06,229580.0,KEPT
NZ_JANUNB010000005.1.fna,1,1,41.12,7393.0,KEPT
NZ_CP084225.1.fna,1,1,39.37,52553.0,KEPT
NZ_OU342708.1.fna,1,1,54.27,110924.0,KEPT
NZ_NOWT01000040.1.fna,1,1,70.14,66768.0,KEPT
NZ_CP141573.1.fna,1,1,52.19,12283.0,KEPT
NZ_LC537594.1.fna,1,1,38.84,43651.0,KEPT
NZ_RRTU01000249.1.fna,1,1,51.53,14612.0,KEPT
NZ_LAZA01000043.1.fna,1,1,50.24,91075.0,KEPT
NC_006860.1.fna,1,1,47.98,4906.0,KEPT
