Filename,Original Contigs,After Filtering,GC Content (%),Avg Length,Status
NZ_JBDFRC010000018.1.fna,1,1,53.67,64361.0,KEPT
NZ_JAEMUF010000007.1.fna,1,1,31.64,4555.0,KEPT
NZ_RRNR01000112.1.fna,1,1,49.82,29323.0,KEPT
NZ_SIQS01000002.1.fna,1,1,60.83,356621.0,KEPT
NZ_RRCY01000207.1.fna,1,1,48.48,2005.0,KEPT
NZ_MOLX01000063.1.fna,1,1,42.33,5089.0,KEPT
NZ_CP073196.1.fna,1,1,29.17,60337.0,KEPT
NZ_CP080064.1.fna,1,1,48.74,1943.0,KEPT
NZ_NTGK01000125.1.fna,1,1,41.04,14751.0,KEPT
NZ_JPGS01000126.1.fna,1,1,50.99,2126.0,KEPT
NZ_CP128134.1.fna,1,1,32.79,4068.0,KEPT
NZ_JAJSAS010000024.1.fna,1,1,28.48,30374.0,KEPT
NZ_CP108550.1.fna,1,1,68.72,131861.0,KEPT
NZ_CP108499.1.fna,1,1,68.75,129922.0,KEPT
NZ_RRKY01000207.1.fna,1,1,48.09,9452.0,KEPT
NZ_CP155076.1.fna,1,1,59.26,343856.0,KEPT
NZ_JBDYEZ010000036.1.fna,1,1,54.08,4919.0,KEPT
NZ_CP118904.1.fna,1,1,52.58,124316.0,KEPT
NZ_JAJNPN010000062.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_JBDYIL010000077.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_CP035483.1.fna,1,1,50.20,1506.0,KEPT
NZ_LKVU01000017.1.fna,1,1,36.58,2318.0,KEPT
NZ_RRMG01000201.1.fna,1,1,55.72,1714.0,KEPT
NZ_JAXQPR010000025.1.fna,1,1,41.45,3937.0,KEPT
NZ_NPIJ01000145.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_JARIXM010000011.1.fna,1,1,39.62,5595.0,KEPT
NZ_RRTS01000261.1.fna,1,1,49.85,5115.0,KEPT
NZ_LYVD01000046.1.fna,1,1,30.36,5220.0,KEPT
NZ_ONZM01000035.1.fna,1,1,35.82,1745.0,KEPT
NZ_JBDYFW010000036.1.fna,1,1,50.61,26525.0,KEPT
NZ_RRSH01000279.1.fna,1,1,50.79,11942.0,KEPT
NZ_CP095669.1.fna,1,1,52.92,94788.0,KEPT
NZ_JBBMGZ010000002.1.fna,1,1,50.72,105427.0,KEPT
NZ_AP019539.1.fna,1,1,54.39,151109.0,KEPT
NZ_CP093387.1.fna,1,1,53.11,93849.0,KEPT
NZ_LYVD01000036.1.fna,1,1,31.42,6022.0,KEPT
NZ_JAMYDH010000406.1.fna,1,1,66.10,25510.0,KEPT
NZ_RREI01000170.1.fna,1,1,57.74,1337.0,KEPT
NZ_JAQFLL010000224.1.fna,1,1,56.95,6810.0,KEPT
NZ_CP041959.1.fna,1,1,53.12,84917.0,KEPT
NZ_CP084473.1.fna,1,1,57.62,320393.0,KEPT
NZ_JBDYGC010000063.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_JBBMGL010000001.1.fna,1,1,41.85,33304.0,KEPT
NZ_AP027177.1.fna,1,1,51.02,147858.0,KEPT
NZ_QBLN01000004.1.fna,1,1,23.97,32182.0,KEPT
NZ_JBLEAH010000003.1.fna,1,1,30.49,7540.0,KEPT
NZ_MUMN01000067.1.fna,1,1,59.86,6463.0,KEPT
NZ_LKWT01000102.1.fna,1,1,47.51,3168.0,KEPT
NZ_RRSC01000287.1.fna,1,1,54.12,2947.0,KEPT
NZ_CP058781.1.fna,1,1,52.91,99490.0,KEPT
NZ_CP072607.1.fna,1,1,62.02,45140.0,KEPT
NZ_MT840283.1.fna,1,1,51.22,134805.0,KEPT
NZ_JBDYEE010000114.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_JAAMUW010000111.1.fna,1,1,40.09,20260.0,KEPT
NZ_JAHBNS010000021.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_WMHN01000029.1.fna,1,1,50.80,42308.0,KEPT
NZ_JBDYGY010000145.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_CP032424.1.fna,1,1,46.65,46161.0,KEPT
NZ_RRJH01000114.1.fna,1,1,51.64,80223.0,KEPT
NZ_JALEBW010000041.1.fna,1,1,47.70,18864.0,KEPT
NZ_AP018542.1.fna,1,1,34.37,36331.0,KEPT
NZ_JAMYDI010000015.1.fna,1,1,50.62,1130.0,KEPT
NZ_RRGG01000136.1.fna,1,1,57.74,5317.0,KEPT
NZ_LR890316.1.fna,1,1,51.87,1552.0,KEPT
NZ_JBDYEE010000115.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_CP122696.1.fna,1,1,49.88,4076.0,KEPT
NZ_LKXW01000027.1.fna,1,1,47.43,6458.0,KEPT
NZ_CP044755.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_JBDYEP010000036.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_JACGYN010000019.1.fna,1,1,30.40,4707.0,KEPT
NZ_RRSG01000302.1.fna,1,1,47.74,11491.0,KEPT
NZ_JBDYDR010000067.1.fna,1,1,53.23,2942.0,KEPT
NZ_QRAD01000115.1.fna,1,1,61.93,4308.0,KEPT
NZ_CP039812.1.fna,1,1,55.57,11970.0,KEPT
NC_004922.1.fna,1,1,30.26,5670.0,KEPT
NZ_JAMYDD010000039.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_CP125632.1.fna,1,1,38.96,13760.0,KEPT
NZ_CP121140.1.fna,1,1,52.17,192395.0,KEPT
NZ_CP122591.1.fna,1,1,39.95,5720.0,KEPT
NZ_CP060887.1.fna,1,1,49.69,86975.0,KEPT
NZ_WQMW01000041.1.fna,1,1,31.41,33668.0,KEPT
NZ_CP067073.1.fna,1,1,59.35,1068678.0,KEPT
NZ_CP154427.1.fna,1,1,55.58,23941.0,KEPT
NZ_NHMW01000073.1.fna,1,1,50.58,23981.0,KEPT
NZ_MIEB01000064.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_RRHQ01000158.1.fna,1,1,48.37,7920.0,KEPT
NZ_RRHR01000164.1.fna,1,1,43.83,5111.0,KEPT
NZ_JBAIZQ010000002.1.fna,1,1,47.39,363888.0,KEPT
NZ_CP093069.1.fna,1,1,53.73,100606.0,KEPT
NZ_PXUW01000036.1.fna,1,1,28.22,3023.0,KEPT
NZ_CP020997.1.fna,1,1,62.38,8055.0,KEPT
NZ_CP048822.1.fna,1,1,49.49,137410.0,KEPT
NZ_CP097495.1.fna,1,1,40.99,2774.0,KEPT
NZ_JACBGS010000027.1.fna,1,1,47.22,36801.0,KEPT
NZ_MTZX01000131.1.fna,1,1,45.67,5150.0,KEPT
NZ_JAHQJP010000047.1.fna,1,1,57.46,1749.0,KEPT
NZ_PGEG01000619.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_JBBXKI010000004.1.fna,1,1,50.02,43158.0,KEPT
NZ_MIEA01000056.1.fna,1,1,51.09,1104.0,KEPT
NZ_JBANDS010000009.1.fna,1,1,66.89,73570.0,KEPT
NZ_RRMB01000080.1.fna,1,1,51.08,6803.0,KEPT
NZ_PHSK01000040.1.fna,1,1,32.47,5587.0,KEPT
NZ_RRTS01000249.1.fna,1,1,54.46,14090.0,KEPT
NZ_VLPR01000053.1.fna,1,1,30.41,27819.0,KEPT
NC_025005.1.fna,1,1,31.42,4752.0,KEPT
NZ_JAHNZU010000069.1.fna,1,1,43.98,5127.0,KEPT
NZ_JBDYHE010000033.1.fna,1,1,53.39,1652.0,KEPT
NZ_RRRM01000169.1.fna,1,1,49.67,14844.0,KEPT
NZ_NHNC01000157.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_JBAKMR010000064.1.fna,1,1,31.88,3469.0,KEPT
NZ_LLBT01000017.1.fna,1,1,32.18,9706.0,KEPT
NZ_JABACN010000007.1.fna,1,1,52.17,156865.0,KEPT
NZ_CP124822.1.fna,1,1,51.43,65499.0,KEPT
NZ_JBJXVK010000042.1.fna,1,1,40.98,15358.0,KEPT
NZ_JAMYCV010000014.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_JBDYGY010000147.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_NBOH01000069.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_NOWT01000025.1.fna,1,1,69.37,111313.0,KEPT
NZ_NBOL01000052.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_KJ909291.1.fna,1,1,58.89,11845.0,KEPT
NZ_JAIVKF010000296.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_MUMQ01000108.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_CP117130.1.fna,1,1,31.65,28923.0,KEPT
NZ_JBDYHN010000057.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_JANUJM010000004.1.fna,1,1,36.13,9127.0,KEPT
NZ_CP142397.1.fna,1,1,25.71,13652.0,KEPT
NG_050467.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_MK962684.1.fna,1,1,58.41,2349.0,KEPT
NZ_CP018124.1.fna,1,1,42.80,65539.0,KEPT
NZ_RRSF01000284.1.fna,1,1,47.28,10033.0,KEPT
NC_019288.1.fna,1,1,57.93,4502.0,KEPT
NZ_PNYF02000024.1.fna,1,1,53.06,82356.0,KEPT
NZ_MBOV01000013.1.fna,1,1,50.52,10487.0,KEPT
NZ_CP093288.1.fna,1,1,49.24,2640.0,KEPT
NZ_CP060921.1.fna,1,1,47.97,91360.0,KEPT
NZ_CP158294.1.fna,1,1,46.69,442134.0,KEPT
NZ_CP114520.1.fna,1,1,35.04,25370.0,KEPT
NZ_JROQ01000044.1.fna,1,1,49.32,80239.0,KEPT
NZ_JABFAH010000050.1.fna,1,1,48.63,1528.0,KEPT
NZ_CP097700.1.fna,1,1,56.67,35202.0,KEPT
NZ_CP121637.1.fna,1,1,60.97,596078.0,KEPT
